item,cluster,raw_fraction,residual,z_score,coverage
dmw=11334,0,0.3527272727272727,-0.09413132668293145,-1.3946282940588022,550
dmw=11334,7,0.3779527559055118,-0.09251791609769466,-1.382452345131903,127
dmw=11334,3,0.417910447761194,-0.08323241645776713,-1.312377331114375,134
dmw=11334,1,0.3277693474962064,-0.07949002936375932,-1.284134604471648,659
dmw=11335,14,0.25806451612903225,-0.5217351297097866,-2.155810699273618,31
dmw=11335,6,0.3235294117647059,-0.391741412272637,-1.5682432391920529,272
dmw=11335,13,0.3924050632911392,-0.3436168355537943,-1.350721686091903,79
dmw=11335,4,0.44,-0.2733239805282998,-1.0330002215205065,375
dmw=11341,4,0.1400560224089636,-0.07961698394747457,-1.0553977683271727,357
dmw=11345,11,0.47619047619047616,-0.34756796229034814,-2.7350373289588377,42
dmw=11345,6,0.6815476190476191,-0.13213381536613322,-1.0375683092596164,336
dmw=11360,14,0.4,-0.18021797768006298,-1.8571148953083854,60
dmw=11360,2,0.38734177215189874,-0.14677760759646435,-1.5093404195771098,395
dmw=11360,11,0.38271604938271603,-0.12933227402607667,-1.327911753529706,81
dmw=11360,10,0.3488372093023256,-0.09953807901262585,-1.0180569126671555,86
dmw=11368,6,0.14823529411764705,-0.10608499114310774,-1.0546027879483355,425
dmw=11368,4,0.14733969986357434,-0.10517568838571742,-1.0499577173419907,733
dmw=11368,7,0.16859122401847576,-0.1015337342305343,-1.031353205194191,433
dmw=11368,10,0.11926605504587157,-0.10115214670677034,-1.0294039083555109,109
dmw=11382,13,0.35833333333333334,-0.2290770803699928,-1.9228415656494944,120
dmw=11382,7,0.39903846153846156,-0.1828942649689691,-1.522905023607307,624
dmw=11382,6,0.42424242424242425,-0.1376877895508723,-1.1314234454567462,561
dmw=11390,14,0.42857142857142855,-0.13028858419979844,-1.393301679027711,21
dmw=11390,0,0.3707250341997264,-0.09925035077946176,-1.151707422051064,731
dmw=11391,13,0.16666666666666666,-0.5531942629770916,-2.6513172362525683,18
dmw=11391,14,0.38235294117647056,-0.38311182286316925,-1.7325401282378325,34
dmw=11391,16,0.3333333333333333,-0.27319146189808724,-1.1387556594132524,21
dmw=11393,3,0.06060606060606061,-0.11753388814991869,-1.3898942281786257,528
dmw=11393,7,0.048879837067209775,-0.1119823344453317,-1.355012044170369,491
dmw=11393,0,0.03769633507853403,-0.11073678230396847,-1.3471858424800185,1910
dmw=11393,1,0.020869565217391306,-0.10823730541819593,-1.3314808313618043,1725
dmw=11393,10,0.05555555555555555,-0.0721868144041489,-1.1049640888324168,180
dmw=11407,6,0.035398230088495575,-0.5603818051495706,-1.7960512783437537,113
dmw=11407,4,0.13274336283185842,-0.46073715619506206,-1.4512983973634335,113
dmw=11407,13,0.19230769230769232,-0.42831292973403456,-1.339116302255638,26
dmw=11407,8,0.19230769230769232,-0.42258639691953104,-1.3193035104344761,26
dmw=11407,14,0.26666666666666666,-0.40842134864261687,-1.2702949459613255,15
dmw=11419,7,0.29806598407281,-0.13577655344624706,-1.8805633222084237,879
dmw=11419,0,0.29298545765611633,-0.11765772921941525,-1.722897984183112,2338
dmw=11419,1,0.2644561261625556,-0.10763826345535787,-1.6357111757706895,2473
dmw=11428,14,0.38095238095238093,-0.3629140523430513,-2.322963927861354,42
dmw=11428,10,0.42857142857142855,-0.20213691167890363,-1.2277413020034726,56
dmw=11428,8,0.5094339622641509,-0.18114028933991133,-1.084711168756518,53
dmw=11428,4,0.5,-0.17111806127267437,-1.0164392061167848,254
dmw=1145,0,0.4075425790754258,-0.08708806635080929,-1.5016915484100155,2466
dmw=1145,7,0.43859649122807015,-0.07980476475954751,-1.429851593266569,855
dmw=1145,1,0.38142857142857145,-0.07284618581998803,-1.3612145894824816,2800
dmw=1145,3,0.4790528233151184,-0.06990596915034769,-1.3322133143035992,549
dmw=11452,12,0.5319148936170213,-0.3503637716214425,-3.573060698694984,47
dmw=11457,14,0.10869565217391304,-0.22697627929250835,-2.740634795435284,46
dmw=11457,10,0.12844036697247707,-0.1006336040143303,-1.0435460476204623,109
dmw=1147,7,0.10144927536231885,-0.38091498682874836,-3.3562375345590776,207
dmw=1147,13,0.34,-0.14799872287203014,-1.2171784295153407,50
dmw=11482,6,0.07692307692307693,-0.4707814547246421,-1.8957046396361097,104
dmw=11482,8,0.14492753623188406,-0.42251385155730314,-1.7088989791890674,69
dmw=11482,4,0.28735632183908044,-0.25798391284170286,-1.072133905967522,174
dmw=11482,13,0.3333333333333333,-0.2400506460540916,-1.0027284346699625,33
dmw=11491,4,0.5311059907834101,-0.154107198597925,-1.6236369261315717,868
dmw=11491,8,0.5824175824175825,-0.12178546995405881,-1.3334723921867884,182
dmw=11491,13,0.5911602209944752,-0.11806933361351002,-1.3001112133584014,181
dmw=11491,6,0.592,-0.09526724092883809,-1.0954080964640271,500
dmw=11530,14,0.05970149253731343,-0.248426743721203,-2.4935755403378916,67
dmw=11530,13,0.11486486486486487,-0.14474638918446725,-1.3771289770411737,148
dmw=11533,13,0.0,-0.06735849850978956,-1.10695457631672,35
dmw=11533,11,0.0,-0.06510992332266378,-1.074475401408543,21
dmw=11534,14,0.5833333333333334,-0.18849199381733373,-1.4897640475580356,24
dmw=11534,13,0.5483870967741935,-0.17863010440121319,-1.4219461147843824,31
dmw=11534,4,0.5339805825242718,-0.16987596867509447,-1.3617459479487153,206
dmw=11535,13,0.1267605633802817,-0.4924941670645819,-1.9987133041127845,71
dmw=11535,4,0.2543103448275862,-0.33777079385631326,-1.3243091706818875,232
dmw=11535,14,0.35,-0.3238151580964701,-1.2634797158559163,20
dmw=11535,6,0.28402366863905326,-0.31035949194541035,-1.204829515293614,169
dmw=11537,6,0.5466666666666666,-0.17509693476059085,-1.8855833868565204,225
dmw=11537,4,0.5833333333333334,-0.1365104307375805,-1.4503545291248303,288
dmw=11537,16,0.5,-0.13331231033370772,-1.4142819611244764,18
dmw=11537,8,0.6139240506329114,-0.1236206414732498,-1.3049666947003529,158
dmw=11539,13,0.23232323232323232,-0.3383120941178817,-1.9392951024548637,99
dmw=11539,11,0.34,-0.2217047417675298,-1.2586282865764502,50
dmw=11539,2,0.38305084745762713,-0.2003064609627428,-1.1337210713186587,295
dmw=11540,4,0.5261707988980716,-0.24593202364597966,-1.9427168285181147,726
