DMW,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
dmw=8340,0,0.0949326491340603,-0.04255330950915279,-1.293550051561473,3118
dmw=3058,0,0.4747046349591033,-0.04249494148898525,-0.5296405952110508,3301
dmw=19886,0,0.5875998121183654,-0.04222705341656041,-0.5685438865504142,2129
dmw=2800,0,0.6366173597543957,-0.042123397181506594,-0.9827974999494618,3583
dmw=18909,0,0.19416666666666665,-0.04199157843103646,-0.6529581986799947,1200
dmw=1145,0,0.3357820630547903,-0.04186479034635482,-1.211248098442444,6534
dmw=20051,0,0.24932144241954246,-0.04182995967417463,-0.9098484878175985,2579
dmw=4721,0,0.12582490101187857,-0.04156185560958772,-1.1259767545575103,4546
dmw=2883,0,0.5512863347811561,-0.04154602350346015,-0.6180099613253845,2993
dmw=2895,0,0.57183446571958,-0.041527762543149827,-0.6438500386293466,8095
dmw=2468,0,0.23261032161555723,-0.041443580274563685,-0.738522203524448,1337
dmw=16445,0,0.3640999490056094,-0.041300080912752946,-0.7423787756917865,1961
dmw=13437,0,0.4451196353968857,-0.04077242553491295,-1.014381678153451,2633
dmw=7660,0,0.33233890214797135,-0.040723760025191014,-0.8029026927072924,3352
dmw=18393,0,0.41579558652729387,-0.04063958148913921,-0.6619417251961163,1722
dmw=6488,0,0.558502538071066,-0.040594484934285524,-0.6355799510877463,7880
dmw=21876,0,0.2956917313352957,-0.04055241008640831,-0.8695360787566746,3737
dmw=19863,0,0.5382710316538968,-0.040516379166731786,-0.8362289282414906,12921
dmw=9141,0,0.39971883786316775,-0.04048819871558079,-0.8908645734862018,2134
dmw=6969,0,0.02977667493796526,-0.04044778658912854,-0.9727486055912492,1209
dmw=2796,0,0.4939796233405372,-0.040268699717352974,-0.6211362028712177,3239
dmw=9218,0,0.35887672536887194,-0.04010168520148871,-0.6543534395165174,2101
dmw=8809,0,0.25118483412322273,-0.04003018999726299,-0.6775438255204213,844
dmw=4355,0,0.1650943396226415,-0.039914663360895414,-0.6234222980342399,636
dmw=15117,0,0.33163913595933925,-0.03990007866996781,-1.0745840974646519,2361
dmw=14621,0,0.5451314854299929,-0.0398551752509011,-0.847736495023821,1407
dmw=19619,0,0.5089773614363778,-0.039694546986741575,-0.8004746998444708,8967
dmw=19875,0,0.5614744886491346,-0.039646324514737596,-0.6227888515682004,4449
dmw=19644,0,0.5355421068827572,-0.039547181122973396,-0.7017074973561381,9749
dmw=19663,0,0.5611299642300285,-0.039395409097716994,-0.9962694364715545,10903
dmw=19626,0,0.5608378870673952,-0.03920305275661451,-0.6562848974307464,5490
dmw=5710,0,0.6412269225178078,-0.039104873597599066,-0.919930392894838,6879
dmw=19746,0,0.5595667870036101,-0.03909426447443254,-0.5509175091730072,3601
dmw=19655,0,0.5396242712157201,-0.039046403906084715,-1.1603742651227251,4631
dmw=19796,0,0.5924561233394745,-0.03899810815132021,-0.7392479550572759,10313
dmw=12649,0,0.46118869762910036,-0.03893516968908889,-0.7153425160373559,3079
dmw=9387,0,0.4134658834161771,-0.03888717246994222,-0.8666347352020536,2213
dmw=12101,0,0.6532212885154062,-0.038849950787083865,-0.8990822254667784,3570
dmw=6335,0,0.534980694980695,-0.03850969994767539,-0.576196057616098,6475
dmw=5707,0,0.5620718004932859,-0.038315452542534656,-0.7197503188775752,10947
dmw=15662,0,0.49170276199583735,-0.03827424156333176,-0.608892471734008,17777
dmw=19664,0,0.6015340364333653,-0.038146634513707145,-1.1361551226067532,5215
dmw=9316,0,0.2797971259509721,-0.038075602172736756,-0.7820275551956445,1183
dmw=6524,0,0.5618936294564583,-0.03799316560460475,-0.7719750639595306,8555
dmw=19662,0,0.5781409601634321,-0.03783075411544823,-0.6296920096534615,3916
dmw=6333,0,0.5575240128068303,-0.037782442970452745,-0.9336094450386231,4685
dmw=7074,0,0.5623346074683917,-0.037758381006295694,-1.2554889756827738,6802
dmw=11419,0,0.3631885356023287,-0.0377157368173357,-1.115093590002519,6699
dmw=2793,0,0.5278587035688274,-0.03769900154902517,-0.6389832715578869,5492
dmw=19036,0,0.6428571428571429,-0.037614861002422506,-0.6851091656961106,1694
dmw=2351,0,0.2436849925705795,-0.03752358615818743,-0.7428031000554534,673
dmw=6506,0,0.5104627173592691,-0.037403976565679065,-0.6647969284445735,3393
dmw=21742,0,0.15197779319916724,-0.03706902770713655,-0.7669590290667133,1441
dmw=14285,0,0.6156975352955253,-0.03703872145120313,-0.711356281764755,4179
dmw=4204,0,0.06282145481263776,-0.037020914668827454,-1.0012949034294008,2722
dmw=6437,0,0.5152284263959391,-0.03699014322526506,-0.6008644413772428,2758
dmw=7973,0,0.12410071942446044,-0.03695034401708741,-0.8282448665529738,2224
dmw=6198,0,0.5592713431212616,-0.036810128711423085,-0.7179782235546882,3678
dmw=19665,0,0.6706746826987308,-0.0367140363857702,-0.9421347865335656,2994
dmw=19715,0,0.5764676240866717,-0.03655097396275453,-0.8164181330145726,7938
dmw=6346,0,0.4040797616319047,-0.036051704170176724,-0.8000429367152804,4363
dmw=19474,0,0.506984540882846,-0.03602861433834881,-0.7630987718086234,5369
dmw=19624,0,0.5673909740161069,-0.03596309505004036,-0.5492674313633433,6581
dmw=19607,0,0.5720278471974295,-0.035933219984229936,-0.5735187606060189,11204
dmw=18662,0,0.2356919875130073,-0.03583853002749876,-0.5592970365346773,1922
dmw=12170,0,0.5860780191544032,-0.03577092499839363,-0.8651900446471665,4281
dmw=2819,0,0.6039796529024536,-0.03568242738982663,-0.79923199382872,6684
dmw=6661,0,0.5560502881089576,-0.0355413194373746,-0.5412418617518227,3818
dmw=19687,0,0.538442643085237,-0.03538669393915794,-0.5807803587160731,4071
dmw=19671,0,0.51689261889391,-0.03527603582791339,-0.7050759868727332,4647
dmw=2835,0,0.5587635869565217,-0.03527479980905124,-0.6866417021814857,5888
dmw=6512,0,0.5818677986658581,-0.035273019534213135,-0.8798828534033165,3298
dmw=19608,0,0.5523326264768252,-0.0350809985102829,-0.6863963291136953,13204
dmw=16353,0,0.2593684210526316,-0.03494395792312882,-0.9063322555716816,2375
dmw=7368,0,0.2668470906630582,-0.034807170419768496,-0.7185784169004085,3695
dmw=19921,0,0.5572943610967408,-0.03478503420356227,-0.6990668942183846,7732
dmw=7904,0,0.2583774250440917,-0.034652386688704295,-0.6999512213095505,2268
dmw=19884,0,0.5829275279289602,-0.03463805311426282,-0.7310171505373974,3491
dmw=6529,0,0.561858454889249,-0.03441210395715866,-0.9578051291893034,5553
dmw=19809,0,0.5625215294522907,-0.034299076193686995,-0.6077037664169921,2903
dmw=14291,0,0.560863697705803,-0.03429625409462411,-0.9593742633679075,3705
dmw=19635,0,0.577100646352724,-0.03425261046467454,-0.8179154186380565,6498
dmw=2674,0,0.5837170749677657,-0.034137853686374564,-0.55141833383412,5429
dmw=19672,0,0.5741521539871678,-0.03412383620932713,-1.0221923578281868,5455
dmw=6056,0,0.5632818248712288,-0.03394756060188564,-0.6963855938176595,5436
dmw=19782,0,0.6335485571221505,-0.03385064069404653,-0.6029244394572467,7589
dmw=14083,0,0.6913023884632717,-0.033815986246247154,-0.7094337771998944,2219
dmw=6397,0,0.5554845580404686,-0.03376957706092021,-1.3515584163114085,4695
dmw=18242,0,0.5846422338568935,-0.03369941064015758,-1.0262263612196696,1719
dmw=19793,0,0.5999177631578947,-0.03348034350383533,-0.5788595375503112,4864
