item,cluster,raw_fraction,residual,z_score,coverage,dmw_id,gene
dmw=6294,9,0.25727069351230425,-0.2602365887698531,-1.1481760663228149,447,dmw=6294,AT2G07795
dmw=6295,15,0.25,-0.49196220647874,-2.149954207999005,140,dmw=6295,AT2G07763
dmw=6295,15,0.25,-0.49196220647874,-2.149954207999005,140,dmw=6295,AT2G05375
dmw=6295,5,0.29930394431554525,-0.4292988795413775,-1.8630816438432516,431,dmw=6295,AT2G07763
dmw=6295,5,0.29930394431554525,-0.4292988795413775,-1.8630816438432516,431,dmw=6295,AT2G05375
dmw=6295,9,0.30735930735930733,-0.26232608843334465,-1.0986805966839697,231,dmw=6295,AT2G07763
dmw=6295,9,0.30735930735930733,-0.26232608843334465,-1.0986805966839697,231,dmw=6295,AT2G05375
dmw=6296,5,0.3375,-0.38323966958823297,-2.147154990910324,1360,dmw=6296,AT2G07662
dmw=6296,5,0.3375,-0.38323966958823297,-2.147154990910324,1360,dmw=6296,AT2G07765
dmw=6296,5,0.3375,-0.38323966958823297,-2.147154990910324,1360,dmw=6296,AT2G05385
dmw=6296,15,0.42857142857142855,-0.3057735579053184,-1.6773246306790162,476,dmw=6296,AT2G07662
dmw=6296,15,0.42857142857142855,-0.3057735579053184,-1.6773246306790162,476,dmw=6296,AT2G07765
dmw=6296,15,0.42857142857142855,-0.3057735579053184,-1.6773246306790162,476,dmw=6296,AT2G05385
dmw=6296,9,0.31994047619047616,-0.24005799383992155,-1.2787610979690271,672,dmw=6296,AT2G07662
dmw=6296,9,0.31994047619047616,-0.24005799383992155,-1.2787610979690271,672,dmw=6296,AT2G07765
dmw=6296,9,0.31994047619047616,-0.24005799383992155,-1.2787610979690271,672,dmw=6296,AT2G05385
dmw=6297,15,0.15151515151515152,-0.5446026887328405,-2.2201844832752067,297,dmw=6297,AT2G00500
dmw=6297,5,0.2567237163814181,-0.4246804141059113,-1.6787094872682713,818,dmw=6297,AT2G00500
dmw=6297,14,0.29545454545454547,-0.41117991191935116,-1.6177518012145269,88,dmw=6297,AT2G00500
dmw=6298,14,0.12,-0.6302923567560064,-2.192995386031921,50,dmw=6298,AT2G07665
dmw=6298,14,0.12,-0.6302923567560064,-2.192995386031921,50,dmw=6298,AT2G00500
dmw=6298,15,0.23622047244094488,-0.5045461722236404,-1.6867992989737692,127,dmw=6298,AT2G07665
dmw=6298,15,0.23622047244094488,-0.5045461722236404,-1.6867992989737692,127,dmw=6298,AT2G00500
dmw=6298,5,0.32242990654205606,-0.4049382018801987,-1.2858235952960435,428,dmw=6298,AT2G07665
dmw=6298,5,0.32242990654205606,-0.4049382018801987,-1.2858235952960435,428,dmw=6298,AT2G00500
dmw=6299,15,0.20108695652173914,-0.47987935662710257,-2.2860917954477427,184,dmw=6299,AT2G00510
dmw=6299,5,0.23252279635258358,-0.43334831459344936,-2.056922823032502,658,dmw=6299,AT2G00510
dmw=6300,15,0.22727272727272727,-0.5119257673513063,-2.3655657939478587,44,dmw=6300,AT2G07835
dmw=6300,5,0.3524229074889868,-0.3733260075858508,-1.6853344814457407,227,dmw=6300,AT2G07835
dmw=6357,11,0.7424242424242424,-0.15449721216175516,-2.5101605898719717,330,dmw=6357,AT2G05465
dmw=6357,11,0.7424242424242424,-0.15449721216175516,-2.5101605898719717,330,dmw=6357,AT2G05485
dmw=6357,9,0.7067137809187279,-0.12712797011631605,-2.0471995785992414,283,dmw=6357,AT2G05465
dmw=6357,9,0.7067137809187279,-0.12712797011631605,-2.0471995785992414,283,dmw=6357,AT2G05485
dmw=6357,16,0.7682119205298014,-0.0758534250486187,-1.1798713859631527,151,dmw=6357,AT2G05465
dmw=6357,16,0.7682119205298014,-0.0758534250486187,-1.1798713859631527,151,dmw=6357,AT2G05485
dmw=6369,15,0.6952380952380952,-0.20672440381261792,-3.070513756296802,105,dmw=6369,AT2G05505
dmw=6373,9,0.7017543859649122,-0.12220203508444827,-2.424068846130495,57,dmw=6373,AT2G10545
dmw=6373,1,0.7953216374269005,-0.06886541335838259,-1.4794619863345178,684,dmw=6373,AT2G10545
dmw=6373,8,0.8235294117647058,-0.06794286128376692,-1.4631233246420565,119,dmw=6373,AT2G10545
dmw=6376,9,0.32142857142857145,-0.48730769668281665,-3.722191968716838,56,dmw=6376,AT2G10550
dmw=6378,10,0.3076923076923077,-0.26052992390368646,-1.5312042231816916,13,dmw=6378,AT2G10553
dmw=6378,12,0.3448275862068966,-0.23486080995395053,-1.404657230625988,29,dmw=6378,AT2G10553
dmw=6378,1,0.38860103626943004,-0.18260957772361336,-1.147062196024225,193,dmw=6378,AT2G10553
dmw=6382,4,0.0777027027027027,-0.15550722591123345,-1.144668753463425,296,dmw=6382,AT2G10606
dmw=6396,7,0.1206896551724138,-0.39287463277292256,-1.8370186747768567,812,dmw=6396,AT2G10940
dmw=6396,1,0.13452566096423016,-0.314952035240071,-1.5590097657277835,2572,dmw=6396,AT2G10940
dmw=6396,0,0.1956450016496206,-0.2941449034221203,-1.4847749711970955,3031,dmw=6396,AT2G10940
dmw=6396,3,0.3275217932752179,-0.2166370683117833,-1.2082458337707433,803,dmw=6396,AT2G10940
dmw=6396,12,0.28662420382165604,-0.17145468786941115,-1.0470460702524853,157,dmw=6396,AT2G10940
dmw=6397,1,0.58207343412527,-0.09985150744710647,-1.924107803839732,1852,dmw=6397,AT2G10950
dmw=6397,0,0.6243523316062176,-0.09161949596774299,-1.8290786351645656,1930,dmw=6397,AT2G10950
dmw=6398,1,0.22344322344322345,-0.1803197316159528,-1.6910104143969233,273,dmw=6398,AT2G10950
dmw=6398,0,0.29936305732484075,-0.14391339443595952,-1.4751759679481287,314,dmw=6398,AT2G10950
dmw=6398,3,0.36486486486486486,-0.13265209175230003,-1.408413496925483,74,dmw=6398,AT2G10950
dmw=6404,9,0.7982646420824295,-0.08283473244791728,-2.1374972925170717,461,dmw=6404,AT2G11005
dmw=6404,12,0.8432835820895522,-0.06922918329108674,-1.7353592285684336,268,dmw=6404,AT2G11005
dmw=6406,16,0.6781609195402298,-0.15304460030191547,-2.9088303417441748,87,dmw=6406,AT2G11010
dmw=6406,9,0.7186147186147186,-0.10170355697816136,-1.9128684402364533,231,dmw=6406,AT2G11010
dmw=641,13,0.4166666666666667,-0.42388358279668664,-2.2420012893557324,24,dmw=641,AT1G08840
dmw=641,6,0.422360248447205,-0.4037141143881845,-2.130892952898152,161,dmw=641,AT1G08840
dmw=641,4,0.5026737967914439,-0.32202566461956617,-1.680892606941399,187,dmw=641,AT1G08840
dmw=6443,6,0.2569832402234637,-0.15943969057687513,-1.642012775262361,358,dmw=6443,AT2G11810
dmw=6443,4,0.26545454545454544,-0.14865193766209422,-1.523702465157311,550,dmw=6443,AT2G11810
dmw=6481,9,0.38961038961038963,-0.4707594495984482,-3.667782711579812,77,dmw=6481,AT2G05705
dmw=653,14,0.031746031746031744,-0.17830951628839167,-1.3289443397677096,63,dmw=653,AT1G08940
dmw=653,13,0.03389830508474576,-0.13921861723907153,-1.0410349564585966,59,dmw=653,AT1G08940
dmw=6531,9,0.7607655502392344,-0.07897868968615451,-2.0617472889710218,209,dmw=6531,AT2G05855
dmw=6531,10,0.8035714285714286,-0.07201257787725512,-1.872702451991211,224,dmw=6531,AT2G05855
dmw=6547,10,0.3728813559322034,-0.1590026732826454,-1.8972041091237246,59,dmw=6547,AT2G13360
dmw=6547,1,0.44715447154471544,-0.08776359098101705,-1.2325719096556846,861,dmw=6547,AT2G13360
dmw=6547,13,0.5252525252525253,-0.07811336611080821,-1.1425391639545026,99,dmw=6547,AT2G13360
dmw=6547,0,0.5093360995850622,-0.06555497615653316,-1.0253743989488706,964,dmw=6547,AT2G13360
dmw=6549,7,0.04439252336448598,-0.11213803105151399,-1.640069986746669,428,dmw=6549,AT2G13360
dmw=6549,0,0.054239877769289534,-0.09013872169405573,-1.4237019449980959,1309,dmw=6549,AT2G13360
dmw=6549,1,0.04821958456973294,-0.07728287158578923,-1.297261834186354,1348,dmw=6549,AT2G13360
dmw=6564,15,0.6097560975609756,-0.3204308449456531,-3.2758274837084627,41,dmw=6564,AT2G13430
dmw=6564,12,0.7868852459016393,-0.10932118762564347,-1.0666210627965398,61,dmw=6564,AT2G13430
dmw=6565,12,0.6696428571428571,-0.2352172904954083,-3.146872586176003,112,dmw=6565,AT2G13430
dmw=6565,10,0.7619047619047619,-0.13884111067428595,-1.7635486993689693,42,dmw=6565,AT2G13430
dmw=6574,0,0.1325,-0.13468730577659255,-1.6757926704810153,800,dmw=6574,AT2G13550
dmw=6574,7,0.1888412017167382,-0.09737683040171544,-1.3720851268644116,233,dmw=6574,AT2G13550
dmw=6574,3,0.21940928270042195,-0.0925452903873887,-1.3327563556575845,237,dmw=6574,AT2G13550
dmw=6574,1,0.1771995043370508,-0.05949728670803556,-1.0637453629526472,807,dmw=6574,AT2G13550
